variable,auc_dev,auc_val,auc_oot,psi_oot,pct_na,origen
bureau_score,0.6934382636193761,0.6732511449902754,0.7073670391402577,0.011443265960443549,0.03337368148020059,Original
dti,0.5705681051735385,0.5328408306669177,0.6130610001831838,0.009957847133735015,0.0,Original
dti_post,0.5701497845741055,0.5380575945793337,0.5798681077120351,0.006713602279945408,0.025073491267508213,Derivada 6.3
dti_post_verificable,0.5474379245401239,0.5256352343308865,0.5549062709898027,0.005055202173351876,0.025073491267508213,Derivada 6.3
deuda_por_obligacion,0.5443475120059855,0.5546050567789698,0.5730719912071809,0.0018284111525537698,0.0,Derivada 6.3
prior_delinquencies_24m,0.5434279438160422,0.5088305414392371,0.5030774867191793,0.0007053998828221187,0.0,Original
ahorro_sobre_monto,0.5374341651831949,0.5450404667795972,0.526305184099652,0.00911578846754428,0.07712260072626664,Derivada 6.3
excedente_per_capita,0.5366915079075494,0.5216889390802434,0.5439824143616048,0.0037324733125379886,0.025073491267508213,Derivada 6.3
colchon_ahorro_meses,0.5345096066312107,0.5402158228245184,0.5202051657812786,0.011891499357940882,0.07712260072626664,Derivada 6.3
antiguedad_relativa,0.5148337958816613,0.5236432649476128,0.5505037552665324,0.019635676255258413,0.0,Derivada 6.3
intensidad_busqueda,0.5140487536994651,0.5197063805759459,0.5068388593759541,0.003817350546887348,0.0,Derivada 6.3
campana_siembra,0.511326444864608,0.5269653052261748,0.5149355803871283,0.0,0.0,Derivada 6.3
flag_sin_buro,0.5108579073650226,0.5073498964803314,0.5005281797643035,0.0,0.0,Derivada 6.3
cash_income_share,0.5100000737128809,0.5134952004517221,0.5225743420650912,0.005503451799253968,0.0,Original
flag_sin_ahorro,0.5047526379997274,0.5021268586485979,0.5017921475239665,0.0,0.0,Derivada 6.3
flag_sin_ingreso,0.5026416853713103,0.506415082502039,0.5021310374305428,0.0,0.0,Derivada 6.3
monthly_income,0.5019464807627809,0.5480080306167263,0.5150027477559992,0.007717079816246465,0.025073491267508213,Original
requested_amount,0.5000405420845266,0.5489679402722881,0.5135800207608231,0.012843749502042293,0.0,Original
